"Age" "mx" "qx" "px" "lx" "dx" "Lx" "Tx" "ex"
60 0.003551 0.00354470637383326 0.996455293626167 95779.0152719869 339.508485914085 95609.2610290299 2625767.83304115 27.4148551807999
61 0.003909 0.00390137476302567 0.996098625236974 95439.5067860728 372.345283170801 95253.3341444874 2530158.57201212 26.5105998261648
62 0.004109 0.00410057536790664 0.995899424632093 95067.161502902 389.830060755602 94872.2464725242 2434905.23786763 25.6124743746904
63 0.004186 0.0041772570010967 0.995822742998903 94677.3314421464 395.491545611859 94479.5856693405 2340032.9913951 24.715873966357
64 0.004536 0.00452573563158756 0.995474264368412 94281.8398965346 426.69468223138 94068.4925554189 2245553.40572576 23.8174542222558
65 0.004927 0.00491489216315607 0.995085107836844 93855.1452143032 461.287917685653 93624.5012554604 2151484.91317035 22.9234626216578
66 0.005306 0.00529196042898191 0.994708039571018 93393.8572966175 494.236597123684 93146.7389980557 2057860.41191488 22.0342158626038
67 0.00588 0.00586276347538238 0.994137236524618 92899.6206994939 544.648503113869 92627.2964479369 1964713.67291683 21.14878035156
68 0.006477 0.00645609194623213 0.993543908053768 92354.97219638 596.252192191541 92056.8461002842 1872086.37646889 20.2705531921786
69 0.007252 0.00722579925191257 0.992774200748087 91758.7200041884 663.030090362719 91427.2049590071 1780029.53036861 19.3990231150495
70 0.008298 0.00826371385123124 0.991736286148769 91095.6899138257 752.788714528348 90719.2955565616 1688602.3254096 18.5365776032541
71 0.00894 0.00890021603432656 0.991099783965673 90342.9011992974 804.071337841567 89940.8655303766 1597883.02985304 17.6868686818911
72 0.009897 0.00984826585640956 0.99015173414359 89538.8298614558 881.80220094744 89097.9287609821 1507942.16432266 16.8412091899784
73 0.010969 0.0109091686644598 0.98909083133554 88657.0276605084 967.174468038161 88173.4404264893 1418844.23556168 16.0037424330851
74 0.012679 0.0125991278291272 0.987400872170873 87689.8531924702 1104.81566968933 87137.4453576255 1330670.79513519 15.1747408245114
75 0.015126 0.0150124607592776 0.984987539240722 86585.0375227809 1299.85447815133 85935.1102837052 1243533.34977757 14.3619889227441
76 0.016836 0.0166954576376066 0.983304542362393 85285.1830446296 1423.87516063714 84573.245464311 1157598.23949386 13.5732632348117
77 0.018872 0.0186955884275972 0.981304411572403 83861.3078839924 1567.83649719913 83077.3896353929 1073024.99402955 12.7952332381209
78 0.022037 0.0217968316108954 0.978203168389105 82293.4713867933 1793.73693849397 81396.6029175463 989947.604394157 12.0294792249222
79 0.025497 0.0251760432130978 0.974823956786902 80499.7344482993 2026.66479311328 79486.4020517427 908551.00147661 11.2863850757188
80 0.030677 0.0302135691692967 0.969786430830703 78473.069655186 2370.951517954 77287.593896209 829064.599424868 10.5649569090111
81 0.034518 0.0339323613750284 0.966067638624972 76102.118137232 2582.32457403766 74810.9558502132 751777.005528659 9.87852932257428
82 0.040727 0.0399142070448424 0.960085792955158 73519.7935631944 2934.48426217541 72052.5514321067 676966.049678445 9.20794274397078
83 0.047384 0.0462873598699609 0.953712640130039 70585.3093010189 3267.20761314876 68951.7054944446 604913.498246339 8.56996313024028
84 0.055784 0.0542702929879793 0.945729707012021 67318.1016878702 3653.3731019953 65491.4151368725 535961.792751894 7.96162962581678
85 0.064224 0.0622258049514006 0.937774195048599 63664.7285858749 3961.58898326851 61683.9340942406 470470.377615022 7.38981203666677
86 0.073851 0.0712211243720017 0.928778875627998 59703.1396026064 4252.12473103621 57577.0772370883 408786.443520781 6.84698403202459
87 0.086967 0.0833429565489057 0.916657043451094 55451.0148715702 4621.451523034 53140.2891100532 351209.366283693 6.33368689639183
88 0.099543 0.0948234925409958 0.905176507459004 50829.5633485362 4819.83672104199 48419.6449880152 298069.077173639 5.86408887933568
89 0.114219 0.10804840936535 0.89195159063465 46009.7266274942 4971.27777743532 43524.0877387765 249649.432185624 5.42601424709271
90 0.131279 0.123192693213793 0.876807306786207 41038.4488500589 5055.63703915525 38510.6303304812 206125.344446848 5.02273721894223
91 0.148564 0.138291435582091 0.861708564417909 35982.8118109036 4976.11470161009 33494.7544600986 167614.714116367 4.65818833161825
92 0.161661 0.149571093709883 0.850428906290117 31006.6971092935 4637.70559896811 28687.8443098095 134119.959656268 4.32551584528713
93 0.185925 0.170111051385569 0.829888948614431 26368.9915103254 4485.6568697986 24126.1630754261 105432.115346459 3.99833703557354
94 0.204846 0.185814338053542 0.814185661946458 21883.3346405268 4066.23734063364 19850.21597021 81305.9522710324 3.71542790925739
95 0.227835 0.204534895986462 0.795465104013538 17817.0972998932 3644.21814301433 15994.988228386 61455.7363008224 3.44925636687132
96 0.251084 0.223078303608395 0.776921696391605 14172.8791568789 3161.66183956331 12592.0482370972 45460.7480724364 3.20758736240066
97 0.27897 0.244821125332935 0.755178874667064 11011.2173173155 2695.7786149107 9663.32800986019 32868.6998353392 2.98501962936032
98 0.30303 0.263157666204956 0.736842333795044 8315.43870240484 2188.27144239523 7221.30298120723 23205.371825479 2.79063710959326
99 0.333532 0.285860232471635 0.714139767528365 6127.16726000962 1751.51345733894 5251.41053134015 15984.0688442717 2.60872082741979
100 0.362817 0.307105459288637 0.692894540711363 4375.65380267067 1343.78717075725 3703.76021729205 10732.6583129316 2.45281249315952
101 0.369377 0.311792509170132 0.688207490829868 3031.86663191342 945.313304633484 2559.20997959668 7028.89809563955 2.31834013463962
102 0.42048 0.347435219460603 0.652564780539397 2086.55332727994 724.942113179757 1724.08227069006 4469.68811604287 2.14213941125081
103 0.454564 0.370382683034543 0.629617316965457 1361.61121410018 504.317214728348 1109.45260673601 2745.60584535281 2.01643891950995
104 0.474189 0.383308631636468 0.616691368363532 857.293999371836 328.608189809373 692.989904467149 1636.1532386168 1.90850891271332
105 0.499492 0.399674813922189 0.600325186077811 528.685809562463 211.302402560179 423.034608282373 943.163334149647 1.78397701827897
106 0.543409 0.427307601726659 0.572692398273341 317.383407002284 135.620342473982 249.573235765293 520.128725867274 1.63880251579608
107 0.609191 0.46695776583623 0.53304223416377 181.763064528302 84.8756745236824 139.325227266461 270.555490101981 1.48850642898274
108 0.652482 0.491978456404228 0.508021543595772 96.8873900046193 47.6665085795071 73.0541357148658 131.230262835521 1.35446173985349
109 0.563653 0.439726437236241 0.560273562763759 49.2208814251123 21.6437228266921 38.3990200117662 58.176127120655 1.18193997011548
110 1.394398 1 0 27.5771585984202 27.5771585984202 19.7771071088887 19.7771071088887 0.717155360234309
